Index,Question,Subject,Correct_spark4.0-ultra,Extracted_spark4.0-ultra,Score_spark4.0-ultra,Invalid_spark4.0-ultra
65,__________ is a shedding of the inner lining of the uterus.,human_sexuality,True,A,1.0,False
68,Persons with liberal attitudes about premarital sex are likely to:,human_sexuality,True,A,1.0,False
60,The Old Testament presents the view that sexuality is,human_sexuality,True,D,1.0,False
66,"When a woman thinks that she probably is a lesbian, she is at the:",human_sexuality,False,,0.0,True
64,"At about _________ months after conception, the gender of the fetus is clear from the appearance of external genitals.",human_sexuality,False,C,0.0,False
71,Stan is out having a few beers with some friends. Which of the following will be DECREASED if Stan only consumes 1 beer?,human_sexuality,False,,0.0,True
67,Which of the following STDs can be passed from mother to child through the placenta?,human_sexuality,True,B,1.0,False
62,Xena has been able to conceive but has repeatedly miscarried early in her pregnancies. Which of the following would be her best option for having a child?,human_sexuality,True,D,1.0,False
61,Castration in adulthood,human_sexuality,True,C,1.0,False
69,"Menstrual cramps may be caused, in part, by:",human_sexuality,False,C,0.0,False
70,Avalon had a wild time during spring break. Unfortunately the guy she hooked up with in Palm Beach had genital herpes. Which of the following is true about genital herpes?,human_sexuality,True,D,1.0,False
58,Kenny fell off a ladder while trying to change a lightbulb. He suffered an injury his upper back transecting his spinal cord and leaving him quadraplegic. Which of the following are probably impaired in Kenny?,human_sexuality,True,D,1.0,False
72,Vasocongestion is a process of :,human_sexuality,True,B,1.0,False
73,Which of the following is/are secondary sex characteristics in males AND females?,human_sexuality,False,,0.0,True
76,Romulo is on a crowded bus and he sees a woman near the door. Feeling a little saucy Romulo proceeds to rub up against the woman and is immediately aroused. Romulo's inappropriate behavior would be characterized as:,human_sexuality,True,A,1.0,False
59,The feedback loop in men which regulates the production of sex hormones includes all but which of the following?,human_sexuality,True,A,1.0,False
77,Mini-pills contain:,human_sexuality,True,B,1.0,False
79,Which of the following is typically associated with having a vasectomy?,human_sexuality,True,D,1.0,False
75,Which of these statements is accurate concerning the norms of swinging?,human_sexuality,False,,0.0,True
88,In all of her relationships Helen is typically uncomfortable feeling close to another person or having that person feel close to her. According to attachment theory Helen would best be described as:,human_sexuality,True,B,1.0,False
78,"Heterosexual fantasies about sexual activity never involve someone _________, and gay and lesbian fantasies never involve persons of __________",human_sexuality,False,B,0.0,False
81,Which of the following sexual variations is probably the most dangerous?,human_sexuality,False,D,0.0,False
80,Which of the following are reflexes?,human_sexuality,False,,0.0,True
83,"For purposes of conception, the best position for intercourse is:",human_sexuality,False,,0.0,True
86,The placenta does all of the following except:,human_sexuality,True,C,1.0,False
84,"Danny and Sandy are coworkers. Sandy sees Danny in the break room and says ""Hey Stud! Nice buns! Wanna do it?"" This would be considered harrassment if:",human_sexuality,True,D,1.0,False
