Index,Question,Subject,Correct_ernie-4.0-turbo,Extracted_ernie-4.0-turbo,Score_ernie-4.0-turbo,Invalid_ernie-4.0-turbo
0,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,TRUE,B,1,FALSE
1,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,TRUE,C,1,FALSE
2,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,FALSE,C,0,FALSE
3,"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,TRUE,B,1,FALSE
4,"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",abstract_algebra,TRUE,B,1,FALSE
5,"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.",abstract_algebra,FALSE,C,0,FALSE
6,Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.,abstract_algebra,FALSE,C,0,FALSE
7,Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.,abstract_algebra,FALSE,C,0,FALSE
8,Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.,abstract_algebra,TRUE,B,1,FALSE
9,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7,abstract_algebra,TRUE,C,1,FALSE
10,"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.",abstract_algebra,TRUE,C,1,FALSE
11,"If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)} is",abstract_algebra,TRUE,C,1,FALSE
12,"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)",abstract_algebra,TRUE,A,1,FALSE
13,The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.,abstract_algebra,FALSE,B,0,FALSE
14,Find the maximum possible order for an element of S_n for n = 10.,abstract_algebra,TRUE,C,1,FALSE
15,Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.,abstract_algebra,TRUE,B,1,FALSE
16,"The inverse of -i in the multiplicative group, {1, -1, i , -i} is",abstract_algebra,TRUE,C,1,FALSE
17,"Compute the product in the given ring. (2,3)(3,5) in Z_5 x Z_9",abstract_algebra,TRUE,C,1,FALSE
18,The set of all real numbers under the usual multiplication operation is not a group since,abstract_algebra,TRUE,D,1,FALSE
19,Statement 1| Every group of order p^2 where p is prime is Abelian. Statement 2 | For a fixed prime p a Sylow p-subgroup of a group G is a normal subgroup of G if and only if it is the only Sylow p-subgroup of G.,abstract_algebra,TRUE,A,1,FALSE
20,"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.",abstract_algebra,TRUE,A,1,FALSE
21,"Find the sum of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",abstract_algebra,TRUE,A,1,FALSE
22,"Statement 1 | Any set of two vectors in R^2 is linearly independent. Statement 2 | If V = span(v1, ... , vk) and {v1, ... , vk} are linearly independent, then dim(V) = k.",abstract_algebra,TRUE,D,1,FALSE
23,The set of all nth roots of unity under multiplication of complex numbers form a/an,abstract_algebra,TRUE,D,1,FALSE
24,"Statement 1 | Every maximal ideal is a prime ideal. Statement 2 | If I is a maximal ideal of a commutative ring R, then R/I is field.",abstract_algebra,FALSE,A,0,FALSE
25,Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,abstract_algebra,TRUE,C,1,FALSE
26,Statement 1 | Every group of order 42 has a normal subgroup of order 7. Statement 2 | Every group of order 42 has a normal subgroup of order 8.,abstract_algebra,TRUE,C,1,FALSE
27,Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. 8x^3 + 6x^2 - 9x + 24,abstract_algebra,TRUE,B,1,FALSE
28,Statement 1 | The image of a group of 6 elements under a homomorphism may have 12 elements. Statement 2 | There is a homomorphism of some group of 6 elements into some group of 12 elements.,abstract_algebra,TRUE,D,1,FALSE
29,Statement 1 | The homomorphic image of a cyclic group is cyclic. Statement 2 | The homomorphic image of an Abelian group is Abelian.,abstract_algebra,TRUE,A,1,FALSE
30,"Statement 1 | If H is a subgroup of a group G and a belongs to G, then aH = Ha. Statement 2 | If H is normal of G and a belongs to G, then ah = ha for all h in H.",abstract_algebra,FALSE,D,0,FALSE
31,"If (G, .) is a group such that (ab)^-1 = a^-1b^-1, for all a, b in G, then G is a/an",abstract_algebra,TRUE,B,1,FALSE
32,"Statement 1 | In a finite dimensional vector space every linearly independent set of vectors is contained in a basis. Statement 2 | If B_1 and B_2 are bases for the same vector space, then |B_1| = |B_2|.",abstract_algebra,TRUE,A,1,FALSE
