Index,Question,Subject,Correct_ernie-4.0-turbo,Extracted_ernie-4.0-turbo,Score_ernie-4.0-turbo,Invalid_ernie-4.0-turbo
119,What is the 7-Eleven company's trademarked name for its super-large sodas?,miscellaneous,True,B,1.0,False
106,How many sides does a rhombus have?,miscellaneous,True,A,1.0,False
114,What city is known as 'the rubber capital of the world'?,miscellaneous,True,D,1.0,False
108,From whom does the Lutheran Church get its name?,miscellaneous,True,B,1.0,False
113,Which fast food chain used the advertising slogan 'Where's the beef?',miscellaneous,True,A,1.0,False
116,What color is Uncle Sam's goatee?,miscellaneous,True,C,1.0,False
117,According to a famous line from the existentialist play 'No Exit' what is hell?,miscellaneous,True,B,1.0,False
115,What was the first American college to become coeducational?,miscellaneous,False,D,0.0,False
120,The sport of judo comes from what Asian country?,miscellaneous,True,A,1.0,False
110,"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",miscellaneous,True,D,1.0,False
109,What is the only metal that is a liquid at normal atmospheric pressure and temperature?,miscellaneous,True,D,1.0,False
118,"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",miscellaneous,True,D,1.0,False
122,What country is the rock group U2 from?,miscellaneous,True,B,1.0,False
111,"When the production of a good generates negative externalities, the private market will",miscellaneous,True,A,1.0,False
121,The demand for which of the following products is likely to be the most elastic?,miscellaneous,True,D,1.0,False
112,Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,miscellaneous,True,C,1.0,False
124,What city did the Beatles originally call home?,miscellaneous,True,C,1.0,False
123,Elephant tusks are made of what material?,miscellaneous,True,B,1.0,False
107,Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,miscellaneous,True,C,1.0,False
127,How are actors Charlie Sheen and Emilio Estevez related?,miscellaneous,False,C,0.0,False
125,Which of these is not one of the three branches of the US government?,miscellaneous,True,C,1.0,False
131,How many stars are on the American flag?,miscellaneous,True,C,1.0,False
128,Which of the following requires the use of at least two needles?,miscellaneous,True,D,1.0,False
133,Which of these animals lays eggs?,miscellaneous,True,C,1.0,False
126,In British currency how many pence make a pound?,miscellaneous,True,B,1.0,False
136,Which of these is not a breed of cat?,miscellaneous,True,C,1.0,False
132,Who was the English king at the time of the American Revolution?,miscellaneous,True,D,1.0,False
138,Which of these is not found in a Snickers candy bar?,miscellaneous,False,D,0.0,False
129,In 1909 Frederick Cook claimed to be the first explorer to reach what location?,miscellaneous,True,D,1.0,False
140,Which of the following breakfast cereals is shaped like the letter O?,miscellaneous,True,C,1.0,False
130,A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,miscellaneous,True,A,1.0,False
145,What is your hallux?,miscellaneous,True,D,1.0,False
142,Which character on the TV show 'Friends' is a chef?,miscellaneous,True,B,1.0,False
135,"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?",miscellaneous,True,B,1.0,False
146,What metal device is used by police to immobilize the wheels of repeat parking offenders?,miscellaneous,True,B,1.0,False
149,What do herpetologists study?,miscellaneous,True,D,1.0,False
141,"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",miscellaneous,True,C,1.0,False
144,The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,miscellaneous,True,D,1.0,False
147,What disease is sometimes referred to as the 'royaldisease'?,miscellaneous,False,D,0.0,False
139,In the children's game what color is 'Rover'?,miscellaneous,False,D,0.0,False
143,"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",miscellaneous,True,B,1.0,False
137,Approximately how many movies are watched in homes in the United States in one year?,miscellaneous,True,C,1.0,False
152,What is considered the proper way to address a duke?,miscellaneous,True,D,1.0,False
150,Which of these is a virus?,miscellaneous,True,D,1.0,False
148,Which of the following statements accurately describes a JPEG compressed digital photograph?,miscellaneous,True,D,1.0,False
151,What new token was recently added to the Monopoly board game?,miscellaneous,False,C,0.0,False
154,What causes the disease toxoplasmosis?,miscellaneous,True,B,1.0,False
134,"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",miscellaneous,True,C,1.0,False
153,Which of the following is about the Watergate scandal?,miscellaneous,True,C,1.0,False
155,Which of these rock guitarists designed a colorful line of men's neckties?,miscellaneous,True,B,1.0,False
159,Each year in pro baseball the player voted as the best fielder at his position wins what?,miscellaneous,True,B,1.0,False
158,According to a popular slogan what state should people not 'mess with'?,miscellaneous,True,B,1.0,False
156,In mobster lingo if you 'sing like a canary' what are you doing?,miscellaneous,True,B,1.0,False
165,According to the proverb necessity is the mother of what?,miscellaneous,True,A,1.0,False
161,Who was the first US president to resign from that office?,miscellaneous,True,D,1.0,False
163,How long has the average United States citizen spent as president?,miscellaneous,False,A,0.0,False
160,"Of the following objectives, which is most appropriate for a technology education program that has a goal of enabling students to develop creative technical solutions to present and future societal problems?",miscellaneous,True,A,1.0,False
157,Where did Lewis and Clark begin their famous expedition in 1804?,miscellaneous,True,B,1.0,False
164,What is the proletariat?,miscellaneous,True,D,1.0,False
162,How much kale would be needed to provide enough calories for a person for an entire year?,miscellaneous,False,B,0.0,False
171,How many innings are there in a regular Major League Baseball game?,miscellaneous,True,C,1.0,False
179,Which of these is a member of the cucumber family?,miscellaneous,True,B,1.0,False
176,What is the last letter of the Greek alphabet?,miscellaneous,True,B,1.0,False
178,When FDR carried states in the presidential election of 1932 how many states did he not carry?,miscellaneous,True,A,1.0,False
175,"What does the Yiddish word""'meshuga' mean?",miscellaneous,True,A,1.0,False
181,Which of the following defenses may NOT be used to legally avoid payment on a negotiable instrument?,miscellaneous,True,B,1.0,False
172,"Which of the following statements is correct about a trophic structure in which a leaf-eating grasshopper is eaten by a frog, which in turn is eaten by a snake?",miscellaneous,True,C,1.0,False
180,"I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975. I remember the precise moment, crouching behind a crumbling mud wall, peeking into the alley near the frozen creek. That was a long time ago, but it's wrong what they say about the past, I've learned, about how you can bury it. Because the past claws its way out. Looking back now, I realize I have been peeking into that deserted alley for the last twenty-six years. The excerpt is an example of which of the following types of writing?",miscellaneous,True,D,1.0,False
174,What was the average life expectancy of white males born in the U.S. just before the Civil War?,miscellaneous,True,A,1.0,False
177,An elementary school student is able to follow fast and slow songs by playing appropriate rhythm patterns on the drum. Which of the following attributes of music does the student understand?,miscellaneous,True,C,1.0,False
173,"People who believe their political views are important, that government will respect these views, and that their views can influence political affairs are said to have a strong sense of",miscellaneous,True,D,1.0,False
167,What is another way of writing-'six feet'?,miscellaneous,True,A,1.0,False
166,What rank entitles a general in the US Army to wear three stars?,miscellaneous,True,C,1.0,False
182,"Simple accompaniments, light texture and smooth melodies are qualities of",miscellaneous,True,A,1.0,False
184,Which of these names has never belonged to a Pope?,miscellaneous,False,B,0.0,False
168,"In construction, the plates are horizontal structures at the top and bottom of a wall. Which of the following are the vertical structures?",miscellaneous,True,B,1.0,False
186,"Which of these is typically not ""used as a spice?",miscellaneous,True,C,1.0,False
183,Which of the following is true about a monopoly?,miscellaneous,True,B,1.0,False
187,Who is the patron saint of animals?,miscellaneous,True,C,1.0,False
189,What is the baseball term for a batter who substitutes for another batter?,miscellaneous,True,D,1.0,False
193,What letters are on the '3' button of a touch-tone telephone?,miscellaneous,True,B,1.0,False
170,What is a shaddock?,miscellaneous,True,D,1.0,False
169,What part of the world was once known as Cathay?,miscellaneous,True,A,1.0,False
195,When born a Dalmatian puppy is always?,miscellaneous,True,C,1.0,False
188,The dissolved salts in Earth's oceans are principally derived from,miscellaneous,True,C,1.0,False
190,In 1960 Nazi official Adolph Eichmann was finally captured in what country?,miscellaneous,True,C,1.0,False
196,Which of these countries is not in Europe?,miscellaneous,True,D,1.0,False
191,What is the square root of 81 squared?,miscellaneous,True,C,1.0,False
185,Which of the following best helps explain why some localities have normally large tidal ranges (up to 60 feet) and others have one- to two-foot tidal ranges?,miscellaneous,True,C,1.0,False
200,What automobile company makes the Sonata?,miscellaneous,True,D,1.0,False
197,What famous radio personality was also the voice of Shaggy on the cartoon 'Scooby-Doo'?,miscellaneous,True,B,1.0,False
194,"To best encourage student engagement in the classroom, a teacher should select texts based on which of the following?",miscellaneous,False,A,0.0,False
192,Which of the following has provided evidence that the Sun's atmosphere contains sodium atoms?,miscellaneous,True,A,1.0,False
204,What is the technical term for someone who studies fish?,miscellaneous,True,B,1.0,False
198,Many scientists think that some of the dinosaurs did not go extinct but rather evolved into what kind of creature?,miscellaneous,True,C,1.0,False
206,When it comes to measuring horses how long is a 'hand'?,miscellaneous,True,A,1.0,False
202,To create a tapestry one must traditionally engage in what activity?,miscellaneous,True,A,1.0,False
203,What element do organic compounds contain?,miscellaneous,True,A,1.0,False
201,Force equals mass times what?,miscellaneous,True,C,1.0,False
207,What is the (approximate) value of lemon juice on the pH scale?,miscellaneous,True,B,1.0,False
199,What are fans of the TV show 'Mystery Science Theater 3000' known as?,miscellaneous,True,B,1.0,False
205,A person uses a remote control to change the volume level on a television. The signal that travels from the remote to the television is most likely encoded in a,miscellaneous,True,C,1.0,False
214,Who was not one of the Cartwright sons on the TV series 'Bonanza'?,miscellaneous,True,D,1.0,False
210,Which of these Democrats lost to Ronald Reagan in the 1984 presidential elections?,miscellaneous,True,B,1.0,False
212,Which of these is another name for a golf course?,miscellaneous,True,B,1.0,False
209,Which of the following statements reflects the Confucian worldview that figured prominently in classical Chinese culture?,miscellaneous,True,D,1.0,False
216,On what body part should you wear a babushka?,miscellaneous,True,A,1.0,False
208,Which of the following best describes the situation after the price is raised on a product that has an inelastic demand?,miscellaneous,True,A,1.0,False
215,How long is a single term in the US Senate?,miscellaneous,True,C,1.0,False
211,Real gross domestic product (GDP) is defined as the ratio of nominal GDP to the,miscellaneous,True,D,1.0,False
